Usa Beverage Retailer  Dataset,,,,,,,,,,,
,,,,,,,,,,,
Retailer,Retailer ID,Invoice Date,Region,State,City,Beverage Brand,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
Amazon,1185732,2/10/2022,Northeast,New York,New York,Powerade,$0.60 ,"8,750","$5,250 ","$1,575 ",30%
Amazon,1185732,3/3/2022,Northeast,New York,New York,Dasani Water,$0.65 ,"10,000","$6,500 ","$1,625 ",25%
Amazon,1185732,3/4/2022,Northeast,New York,New York,Coca-Cola,$0.60 ,"12,500","$7,500 ","$3,750 ",50%
Amazon,1185732,3/5/2022,Northeast,New York,New York,Diet Coke,$0.55 ,"10,000","$5,500 ","$1,650 ",30%
Amazon,1185732,3/6/2022,Northeast,New York,New York,Sprite,$0.50 ,"9,250","$4,625 ","$1,619 ",35%
Amazon,1185732,3/7/2022,Northeast,New York,New York,Fanta,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
Amazon,1185732,3/8/2022,Northeast,New York,New York,Powerade,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
Amazon,1185732,3/9/2022,Northeast,New York,New York,Dasani Water,$0.65 ,"10,500","$6,825 ","$1,706 ",25%
Amazon,1185732,3/10/2022,Northeast,New York,New York,Coca-Cola,$0.60 ,"12,750","$7,650 ","$3,825 ",50%
Amazon,1185732,3/11/2022,Northeast,New York,New York,Diet Coke,$0.55 ,"10,250","$5,638 ","$1,691 ",30%
Amazon,1185732,3/12/2022,Northeast,New York,New York,Sprite,$0.50 ,"9,500","$4,750 ","$1,663 ",35%
Amazon,1185732,3/13/2022,Northeast,New York,New York,Fanta,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
Amazon,1185732,3/14/2022,Northeast,New York,New York,Powerade,$0.60 ,"9,250","$5,550 ","$1,665 ",30%
Amazon,1185732,3/15/2022,Northeast,New York,New York,Dasani Water,$0.65 ,"11,000","$7,150 ","$1,788 ",25%
Amazon,1185732,3/16/2022,Northeast,New York,New York,Coca-Cola,$0.60 ,"12,500","$7,500 ","$3,750 ",50%
Amazon,1185732,3/17/2022,Northeast,New York,New York,Diet Coke,$0.55 ,"10,250","$5,638 ","$1,691 ",30%
Amazon,1185732,3/18/2022,Northeast,New York,New York,Sprite,$0.50 ,"9,500","$4,750 ","$1,663 ",35%
Amazon,1185732,3/31/2022,Northeast,New York,New York,Fanta,$0.50 ,"9,250","$4,625 ","$1,619 ",35%
Amazon,1185732,4/17/2022,Northeast,New York,New York,Powerade,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
Amazon,1185732,4/18/2022,Northeast,New York,New York,Dasani Water,$0.65 ,"10,750","$6,988 ","$1,747 ",25%
Amazon,1185732,4/19/2022,Northeast,New York,New York,Coca-Cola,$0.60 ,"12,000","$7,200 ","$3,600 ",50%
Amazon,1185732,4/20/2022,Northeast,New York,New York,Diet Coke,$0.55 ,"10,000","$5,500 ","$1,650 ",30%
Amazon,1185732,4/21/2022,Northeast,New York,New York,Sprite,$0.50 ,"9,250","$4,625 ","$1,619 ",35%
Amazon,1185732,4/22/2022,Northeast,New York,New York,Fanta,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
Amazon,1185732,4/23/2022,Northeast,New York,New York,Powerade,$0.60 ,"9,000","$5,400 ","$1,620 ",30%
Amazon,1185732,4/24/2022,Northeast,New York,New York,Dasani Water,$0.65 ,"10,000","$6,500 ","$1,625 ",25%
Amazon,1185732,4/25/2022,Northeast,New York,New York,Powerade,$0.65 ,"8,750","$5,688 ","$1,706 ",30%
Amazon,1185732,4/26/2022,Northeast,New York,New York,Dasani Water,$0.70 ,"10,000","$7,000 ","$1,750 ",25%
Amazon,1185732,4/27/2022,Northeast,New York,New York,Coca-Cola,$0.65 ,"11,500","$7,475 ","$3,738 ",50%
Amazon,1185732,4/28/2022,Northeast,New York,New York,Diet Coke,$0.55 ,"9,750","$5,363 ","$1,609 ",30%
Amazon,1185732,4/29/2022,Northeast,New York,New York,Sprite,$0.55 ,"9,200","$5,060 ","$1,771 ",35%
Amazon,1185732,4/30/2022,Northeast,New York,New York,Fanta,$0.55 ,"9,000","$4,950 ","$1,733 ",35%
Amazon,1185732,5/1/2022,Northeast,New York,New York,Powerade,$0.65 ,"8,750","$5,688 ","$1,706 ",30%
Amazon,1185732,5/2/2022,Northeast,New York,New York,Dasani Water,$0.70 ,"9,750","$6,825 ","$1,706 ",25%
Amazon,1185732,5/3/2022,Northeast,New York,New York,Coca-Cola,$0.65 ,"12,000","$7,800 ","$3,900 ",50%
Amazon,1185732,5/4/2022,Northeast,New York,New York,Diet Coke,$0.55 ,"10,000","$5,500 ","$1,650 ",30%
Amazon,1185732,5/5/2022,Northeast,New York,New York,Sprite,$0.55 ,"9,500","$5,225 ","$1,829 ",35%
Amazon,1185732,5/6/2022,Northeast,New York,New York,Fanta,$0.55 ,"9,000","$4,950 ","$1,733 ",35%
Amazon,1185732,5/7/2022,Northeast,New York,New York,Powerade,$0.65 ,"9,000","$5,850 ","$1,755 ",30%
Amazon,1185732,7/18/2022,Northeast,New York,New York,Dasani Water,$0.70 ,"10,000","$7,000 ","$1,750 ",25%
Amazon,1197831,7/19/2022,Northeast,New York,New York,Coca-Cola,$0.25 ,"9,000","$2,250 ",$788 ,35%
Amazon,1197831,7/20/2022,Northeast,New York,New York,Diet Coke,$0.35 ,"9,000","$3,150 ","$1,103 ",35%
Amazon,1197831,7/21/2022,Northeast,New York,New York,Sprite,$0.35 ,"7,000","$2,450 ",$858 ,35%
Amazon,1197831,7/22/2022,Northeast,New York,New York,Fanta,$0.35 ,"7,000","$2,450 ","$1,103 ",45%
Amazon,1197831,7/23/2022,South,Texas,Houston,Powerade,$0.40 ,"5,500","$2,200 ",$660 ,30%
Amazon,1197831,7/24/2022,South,Texas,Houston,Dasani Water,$0.35 ,"7,000","$2,450 ","$1,225 ",50%
Amazon,1197831,7/25/2022,South,Texas,Houston,Coca-Cola,$0.25 ,"8,500","$2,125 ",$744 ,35%
Amazon,1197831,7/26/2022,South,Texas,Houston,Diet Coke,$0.35 ,"8,500","$2,975 ","$1,041 ",35%
Amazon,1197831,7/27/2022,South,Texas,Houston,Sprite,$0.35 ,"6,750","$2,363 ",$827 ,35%
Amazon,1197831,7/28/2022,South,Texas,Houston,Fanta,$0.35 ,"6,250","$2,188 ",$984 ,45%
Amazon,1197831,7/29/2022,South,Texas,Houston,Powerade,$0.40 ,"5,000","$2,000 ",$600 ,30%
Amazon,1197831,7/30/2022,South,Texas,Houston,Dasani Water,$0.35 ,"7,000","$2,450 ","$1,225 ",50%
Amazon,1197831,7/31/2022,South,Texas,Houston,Coca-Cola,$0.30 ,"8,750","$2,625 ",$919 ,35%
Amazon,1197831,8/1/2022,South,Texas,Houston,Diet Coke,$0.40 ,"8,750","$3,500 ","$1,225 ",35%
Amazon,1197831,8/2/2022,South,Texas,Houston,Sprite,$0.35 ,"7,000","$2,450 ",$858 ,35%
FizzyCo,1197831,8/3/2022,South,Texas,Houston,Fanta,$0.40 ,"6,000","$2,400 ","$1,080 ",45%
FizzyCo,1197831,8/4/2022,South,Texas,Houston,Powerade,$0.45 ,"5,000","$2,250 ",$675 ,30%
FizzyCo,1197831,8/5/2022,South,Texas,Houston,Dasani Water,$0.40 ,"6,500","$2,600 ","$1,300 ",50%
FizzyCo,1197831,8/6/2022,South,Texas,Houston,Coca-Cola,$0.30 ,"9,000","$2,700 ",$945 ,35%
FizzyCo,1197831,8/7/2022,South,Texas,Houston,Diet Coke,$0.40 ,"9,000","$3,600 ","$1,260 ",35%
FizzyCo,1197831,8/8/2022,South,Texas,Houston,Sprite,$0.35 ,"7,250","$2,538 ",$888 ,35%
FizzyCo,1197831,8/9/2022,South,Texas,Houston,Fanta,$0.40 ,"6,250","$2,500 ","$1,125 ",45%
Walmart,1197831,8/10/2022,South,Texas,Houston,Powerade,$0.45 ,"5,250","$2,363 ",$709 ,30%
Walmart,1197831,8/11/2022,South,Texas,Houston,Dasani Water,$0.40 ,"8,000","$3,200 ","$1,600 ",50%
Walmart,1197831,8/12/2022,South,Texas,Houston,Coca-Cola,$0.30 ,"9,250","$2,775 ",$971 ,35%
Walmart,1197831,8/13/2022,South,Texas,Houston,Diet Coke,$0.40 ,"9,250","$3,700 ","$1,295 ",35%
Walmart,1197831,8/14/2022,South,Texas,Houston,Sprite,$0.35 ,"7,750","$2,713 ",$949 ,35%
Walmart,1197831,8/15/2022,South,Texas,Houston,Fanta,$0.40 ,"7,000","$2,800 ","$1,260 ",45%
Walmart,1197831,8/16/2022,South,Texas,Houston,Powerade,$0.45 ,"6,000","$2,700 ",$810 ,30%
Walmart,1197831,8/17/2022,South,Texas,Houston,Dasani Water,$0.40 ,"9,500","$3,800 ","$1,900 ",50%
Walmart,1197831,8/18/2022,South,Texas,Houston,Coca-Cola,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
Walmart,1197831,8/19/2022,South,Texas,Houston,Diet Coke,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
Walmart,1197831,8/20/2022,South,Texas,Houston,Sprite,$0.40 ,"8,000","$3,200 ","$1,120 ",35%
Walmart,1197831,8/21/2022,South,Texas,Houston,Fanta,$0.40 ,"7,500","$3,000 ","$1,350 ",45%
Walmart,1197831,8/22/2022,South,Texas,Houston,Powerade,$0.45 ,"6,500","$2,925 ",$878 ,30%
Walmart,1197831,8/23/2022,South,Texas,Houston,Dasani Water,$0.50 ,"10,000","$5,000 ","$2,500 ",50%
Walmart,1197831,8/24/2022,South,Texas,Houston,Coca-Cola,$0.40 ,"9,500","$3,800 ","$1,330 ",35%
Walmart,1197831,8/25/2022,South,Texas,Houston,Diet Coke,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
Walmart,1197831,8/26/2022,South,Texas,Houston,Sprite,$0.40 ,"11,000","$4,400 ","$1,540 ",35%
Walmart,1197831,8/27/2022,South,Texas,Houston,Fanta,$0.40 ,"7,000","$2,800 ","$1,260 ",45%
Walmart,1197831,8/28/2022,South,Texas,Houston,Powerade,$0.45 ,"7,000","$3,150 ",$945 ,30%
Walmart,1197831,8/29/2022,South,Texas,Houston,Dasani Water,$0.50 ,"9,750","$4,875 ","$2,438 ",50%
Walmart,1197831,8/30/2022,South,Texas,Houston,Coca-Cola,$0.40 ,"9,250","$3,700 ","$1,295 ",35%
Walmart,1197831,8/31/2022,South,Texas,Houston,Diet Coke,$0.45 ,"9,250","$4,163 ","$1,457 ",35%
Walmart,1197831,9/1/2022,South,Texas,Houston,Sprite,$0.40 ,"11,000","$4,400 ","$1,540 ",35%
Walmart,1197831,9/2/2022,South,Texas,Houston,Fanta,$0.40 ,"6,500","$2,600 ","$1,170 ",45%
Walmart,1197831,9/3/2022,South,Texas,Houston,Powerade,$0.45 ,"6,500","$2,925 ",$878 ,30%
Walmart,1197831,9/4/2022,South,Texas,Houston,Dasani Water,$0.50 ,"9,000","$4,500 ","$2,250 ",50%
Walmart,1197831,9/5/2022,South,Texas,Houston,Coca-Cola,$0.45 ,"8,500","$3,825 ","$1,339 ",35%
Walmart,1197831,9/6/2022,South,Texas,Houston,Diet Coke,$0.45 ,"8,500","$3,825 ","$1,339 ",35%
Walmart,1197831,9/7/2022,South,Texas,Houston,Sprite,$0.50 ,"9,000","$4,500 ","$1,575 ",35%
Walmart,1197831,9/8/2022,South,Texas,Houston,Fanta,$0.50 ,"6,250","$3,125 ","$1,406 ",45%
Walmart,1197831,9/9/2022,South,Texas,Houston,Powerade,$0.45 ,"6,250","$2,813 ",$844 ,30%
Walmart,1197831,9/10/2022,South,Texas,Houston,Dasani Water,$0.55 ,"8,500","$4,675 ","$2,338 ",50%
Walmart,1197831,9/11/2022,South,Texas,Houston,Coca-Cola,$0.45 ,"8,000","$3,600 ","$1,260 ",35%
Walmart,1197831,9/12/2022,South,Texas,Houston,Diet Coke,$0.45 ,"8,000","$3,600 ","$1,260 ",35%
Walmart,1197831,9/13/2022,South,Texas,Houston,Sprite,$0.50 ,"7,500","$3,750 ","$1,313 ",35%
Walmart,1197831,9/14/2022,South,Texas,Houston,Fanta,$0.50 ,"6,000","$3,000 ","$1,350 ",45%
Walmart,1197831,9/15/2022,South,Texas,Houston,Powerade,$0.45 ,"5,750","$2,588 ",$776 ,30%
Walmart,1197831,9/16/2022,South,Texas,Houston,Dasani Water,$0.55 ,"7,500","$4,125 ","$2,063 ",50%
Walmart,1197831,10/20/2022,South,Texas,Houston,Coca-Cola,$0.45 ,"9,000","$4,050 ","$1,418 ",35%
Walmart,1197831,10/21/2022,South,Texas,Houston,Diet Coke,$0.45 ,"9,000","$4,050 ","$1,418 ",35%
Walmart,1197831,10/22/2022,South,Texas,Houston,Sprite,$0.50 ,"8,250","$4,125 ","$1,444 ",35%
Walmart,1197831,10/23/2022,South,Texas,Houston,Fanta,$0.50 ,"6,750","$3,375 ","$1,519 ",45%
Walmart,1197831,10/24/2022,South,Texas,Houston,Powerade,$0.45 ,"6,500","$2,925 ",$878 ,30%
Walmart,1197831,10/25/2022,South,Texas,Houston,Dasani Water,$0.55 ,"8,500","$4,675 ","$2,338 ",50%
Walmart,1197831,10/26/2022,South,Texas,Houston,Coca-Cola,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
Walmart,1197831,10/27/2022,South,Texas,Houston,Diet Coke,$0.45 ,"9,500","$4,275 ","$1,496 ",35%
Walmart,1197831,10/28/2022,South,Texas,Houston,Sprite,$0.50 ,"8,500","$4,250 ","$1,488 ",35%
Walmart,1197831,10/29/2022,South,Texas,Houston,Fanta,$0.50 ,"7,000","$3,500 ","$1,575 ",45%
Walmart,1197831,10/30/2022,South,Texas,Houston,Powerade,$0.45 ,"6,500","$2,925 ",$878 ,30%
Walmart,1197831,10/31/2022,South,Texas,Houston,Dasani Water,$0.55 ,"9,000","$4,950 ","$2,475 ",50%
West Soda,1128299,11/1/2022,South,Texas,Houston,Coca-Cola,$0.40 ,"7,750","$3,100 ","$1,085 ",35%
West Soda,1128299,11/2/2022,South,Texas,Houston,Diet Coke,$0.50 ,"7,750","$3,875 ",$775 ,20%
West Soda,1128299,11/3/2022,South,Texas,Houston,Sprite,$0.50 ,"7,750","$3,875 ","$1,356 ",35%
West Soda,1128299,11/4/2022,South,Texas,Houston,Fanta,$0.50 ,"6,250","$3,125 ",$938 ,30%
West Soda,1128299,11/5/2022,West,California,San Francisco,Powerade,$0.55 ,"5,750","$3,163 ","$1,581 ",50%
West Soda,1128299,11/6/2022,West,California,San Francisco,Dasani Water,$0.50 ,"7,750","$3,875 ",$581 ,15%
West Soda,1128299,11/7/2022,West,California,San Francisco,Coca-Cola,$0.40 ,"8,250","$3,300 ","$1,155 ",35%
West Soda,1128299,11/8/2022,West,California,San Francisco,Diet Coke,$0.50 ,"7,250","$3,625 ",$725 ,20%
West Soda,1128299,11/9/2022,West,California,San Francisco,Sprite,$0.50 ,"7,250","$3,625 ","$1,269 ",35%
West Soda,1128299,11/10/2022,West,California,San Francisco,Fanta,$0.50 ,"5,750","$2,875 ",$863 ,30%
West Soda,1128299,11/11/2022,West,California,San Francisco,Powerade,$0.55 ,"5,000","$2,750 ","$1,375 ",50%
West Soda,1128299,11/12/2022,West,California,San Francisco,Dasani Water,$0.50 ,"7,000","$3,500 ",$525 ,15%
West Soda,1128299,11/13/2022,West,California,San Francisco,Coca-Cola,$0.50 ,"8,500","$4,250 ","$1,488 ",35%
West Soda,1128299,11/14/2022,West,California,San Francisco,Diet Coke,$0.60 ,"7,000","$4,200 ",$840 ,20%
West Soda,1128299,11/15/2022,West,California,San Francisco,Sprite,$0.60 ,"7,000","$4,200 ","$1,470 ",35%
West Soda,1128299,12/22/2022,West,California,San Francisco,Fanta,$0.60 ,"6,000","$3,600 ","$1,080 ",30%
West Soda,1128299,12/23/2022,West,California,San Francisco,Powerade,$0.65 ,"5,000","$3,250 ","$1,625 ",50%
West Soda,1128299,12/24/2022,West,California,San Francisco,Dasani Water,$0.60 ,"7,000","$4,200 ",$630 ,15%
West Soda,1128299,12/25/2022,West,California,San Francisco,Coca-Cola,$0.60 ,"8,750","$5,250 ","$1,838 ",35%
West Soda,1128299,12/26/2022,West,California,San Francisco,Diet Coke,$0.65 ,"6,750","$4,388 ",$878 ,20%
West Soda,1128299,12/27/2022,West,California,San Francisco,Sprite,$0.65 ,"7,250","$4,713 ","$1,649 ",35%
West Soda,1128299,12/28/2022,West,California,San Francisco,Fanta,$0.60 ,"6,250","$3,750 ","$1,125 ",30%
West Soda,1128299,12/29/2022,West,California,San Francisco,Powerade,$0.65 ,"5,250","$3,413 ","$1,706 ",50%
West Soda,1128299,12/30/2022,West,California,San Francisco,Dasani Water,$0.80 ,"7,000","$5,600 ",$840 ,15%
West Soda,1128299,12/31/2022,West,California,San Francisco,Coca-Cola,$0.60 ,"9,000","$5,400 ","$2,160 ",40%
West Soda,1128299,1/1/2023,West,California,San Francisco,Diet Coke,$0.65 ,"7,500","$4,875 ","$1,219 ",25%
West Soda,1128299,1/2/2023,West,California,San Francisco,Sprite,$0.65 ,"7,500","$4,875 ","$1,950 ",40%
West Soda,1128299,1/3/2023,West,California,San Francisco,Fanta,$0.60 ,"6,500","$3,900 ","$1,365 ",35%
West Soda,1128299,1/4/2023,West,California,San Francisco,Powerade,$0.65 ,"5,500","$3,575 ","$1,966 ",55%
West Soda,1128299,1/5/2023,West,California,San Francisco,Dasani Water,$0.80 ,"7,250","$5,800 ","$1,160 ",20%
West Soda,1128299,1/6/2023,West,California,San Francisco,Coca-Cola,$0.60 ,"9,750","$5,850 ","$2,340 ",40%
West Soda,1128299,1/7/2023,West,California,San Francisco,Diet Coke,$0.65 ,"8,250","$5,363 ","$1,341 ",25%
West Soda,1128299,1/8/2023,West,California,San Francisco,Sprite,$0.65 ,"8,250","$5,363 ","$2,145 ",40%
West Soda,1128299,1/9/2023,West,California,San Francisco,Fanta,$0.60 ,"7,000","$4,200 ","$1,470 ",35%
West Soda,1128299,1/10/2023,West,California,San Francisco,Powerade,$0.65 ,"5,750","$3,738 ","$2,056 ",55%
West Soda,1128299,1/11/2023,West,California,San Francisco,Dasani Water,$0.80 ,"8,750","$7,000 ","$1,400 ",20%
West Soda,1128299,1/12/2023,West,California,San Francisco,Coca-Cola,$0.60 ,"10,250","$6,150 ","$2,153 ",35%
West Soda,1128299,1/13/2023,West,California,San Francisco,Diet Coke,$0.65 ,"8,750","$5,688 ","$1,138 ",20%
West Soda,1128299,1/14/2023,West,California,San Francisco,Sprite,$0.65 ,"8,250","$5,363 ","$1,877 ",35%
West Soda,1128299,1/15/2023,West,California,San Francisco,Fanta,$0.60 ,"7,250","$4,350 ","$1,305 ",30%
West Soda,1128299,1/16/2023,West,California,San Francisco,Powerade,$0.65 ,"7,750","$5,038 ","$2,519 ",50%
West Soda,1128299,1/17/2023,West,California,San Francisco,Dasani Water,$0.80 ,"7,750","$6,200 ",$930 ,15%
West Soda,1128299,1/18/2023,West,California,San Francisco,Coca-Cola,$0.65 ,"9,750","$6,338 ","$2,218 ",35%
West Soda,1128299,1/19/2023,West,California,San Francisco,Diet Coke,$0.70 ,"9,250","$6,475 ","$1,295 ",20%
West Soda,1128299,1/20/2023,West,California,San Francisco,Sprite,$0.65 ,"8,000","$5,200 ","$1,820 ",35%
West Soda,1128299,1/21/2023,West,California,San Francisco,Fanta,$0.65 ,"7,500","$4,875 ","$1,463 ",30%
West Soda,1128299,1/22/2023,West,California,San Francisco,Powerade,$0.75 ,"7,500","$5,625 ","$2,813 ",50%
West Soda,1128299,1/23/2023,West,California,San Francisco,Dasani Water,$0.80 ,"7,250","$5,800 ",$870 ,15%
West Soda,1128299,1/24/2023,West,California,San Francisco,Coca-Cola,$0.55 ,"9,250","$5,088 ","$1,526 ",30%
West Soda,1128299,1/25/2023,West,California,San Francisco,Diet Coke,$0.60 ,"9,250","$5,550 ",$833 ,15%
West Soda,1128299,1/26/2023,West,California,San Francisco,Sprite,$0.55 ,"7,750","$4,263 ","$1,279 ",30%
West Soda,1128299,1/27/2023,West,California,San Francisco,Fanta,$0.55 ,"7,250","$3,988 ",$997 ,25%
West Soda,1128299,1/28/2023,West,California,San Francisco,Powerade,$0.65 ,"7,250","$4,713 ","$2,121 ",45%
West Soda,1128299,1/29/2023,West,California,San Francisco,Dasani Water,$0.70 ,"7,750","$5,425 ",$543 ,10%
West Soda,1128299,1/30/2023,West,California,San Francisco,Coca-Cola,$0.55 ,"8,750","$4,813 ","$1,444 ",30%
West Soda,1128299,1/31/2023,West,California,San Francisco,Diet Coke,$0.60 ,"8,750","$5,250 ",$788 ,15%
West Soda,1128299,2/1/2023,West,California,San Francisco,Sprite,$0.55 ,"7,000","$3,850 ","$1,155 ",30%
West Soda,1128299,2/2/2023,West,California,San Francisco,Fanta,$0.55 ,"6,750","$3,713 ",$928 ,25%
West Soda,1128299,2/3/2023,West,California,San Francisco,Powerade,$0.65 ,"6,500","$4,225 ","$1,901 ",45%
West Soda,1128299,2/4/2023,West,California,San Francisco,Dasani Water,$0.70 ,"7,000","$4,900 ",$490 ,10%
West Soda,1128299,2/5/2023,West,California,San Francisco,Coca-Cola,$0.55 ,"8,750","$4,813 ","$1,444 ",30%
West Soda,1128299,2/6/2023,West,California,San Francisco,Diet Coke,$0.60 ,"8,750","$5,250 ",$788 ,15%
West Soda,1128299,2/7/2023,West,California,San Francisco,Sprite,$0.55 ,"7,250","$3,988 ","$1,196 ",30%
West Soda,1128299,2/8/2023,West,California,San Francisco,Fanta,$0.55 ,"7,000","$3,850 ",$963 ,25%
West Soda,1128299,2/9/2023,West,California,San Francisco,Powerade,$0.65 ,"6,500","$4,225 ","$1,901 ",45%
West Soda,1128299,2/10/2023,West,California,San Francisco,Dasani Water,$0.70 ,"7,750","$5,425 ",$543 ,10%
West Soda,1128299,2/11/2023,West,California,San Francisco,Coca-Cola,$0.55 ,"9,750","$5,363 ","$1,609 ",30%
West Soda,1128299,2/12/2023,West,California,San Francisco,Diet Coke,$0.60 ,"9,750","$5,850 ",$878 ,15%
West Soda,1128299,2/13/2023,West,California,San Francisco,Sprite,$0.55 ,"7,750","$4,263 ","$1,279 ",30%
West Soda,1128299,2/14/2023,West,California,San Francisco,Fanta,$0.55 ,"7,750","$4,263 ","$1,066 ",25%
West Soda,1128299,2/15/2023,West,California,San Francisco,Powerade,$0.65 ,"7,000","$4,550 ","$2,048 ",45%
West Soda,1128299,2/16/2023,West,California,San Francisco,Dasani Water,$0.70 ,"8,000","$5,600 ",$560 ,10%
Target,1189833,2/17/2023,West,California,San Francisco,Coca-Cola,$0.35 ,"7,000","$2,450 ",$980 ,40%
Target,1189833,2/18/2023,West,California,San Francisco,Diet Coke,$0.45 ,"7,000","$3,150 ",$788 ,25%
Target,1189833,3/9/2023,West,California,San Francisco,Sprite,$0.45 ,"7,000","$3,150 ","$1,260 ",40%
Target,1189833,3/10/2023,West,California,San Francisco,Fanta,$0.45 ,"5,500","$2,475 ",$866 ,35%
Target,1189833,3/11/2023,West,California,Los Angeles,Powerade,$0.50 ,"5,000","$2,500 ","$1,375 ",55%
Target,1189833,3/12/2023,West,California,Los Angeles,Dasani Water,$0.45 ,"7,000","$3,150 ",$630 ,20%
Target,1189833,3/13/2023,West,California,Los Angeles,Coca-Cola,$0.35 ,"7,500","$2,625 ","$1,050 ",40%
Target,1189833,3/14/2023,West,California,Los Angeles,Diet Coke,$0.45 ,"6,500","$2,925 ",$731 ,25%
Target,1189833,3/15/2023,West,California,Los Angeles,Sprite,$0.45 ,"6,750","$3,038 ","$1,215 ",40%
Target,1189833,3/16/2023,West,California,Los Angeles,Fanta,$0.45 ,"5,250","$2,363 ",$827 ,35%
Target,1189833,3/17/2023,West,California,Los Angeles,Powerade,$0.50 ,"4,500","$2,250 ","$1,238 ",55%
Target,1189833,3/18/2023,West,California,Los Angeles,Dasani Water,$0.45 ,"6,500","$2,925 ",$585 ,20%
Target,1189833,3/19/2023,West,California,Los Angeles,Coca-Cola,$0.35 ,"8,000","$2,800 ","$1,120 ",40%
Target,1189833,3/20/2023,West,California,Los Angeles,Diet Coke,$0.45 ,"6,500","$2,925 ",$731 ,25%
